Date,Country,Avg_Tone,Avg_Stability,Total_Mentions,Panic_Index
20190202,IN,-2.6549981233588955,-0.0015463917525775,4000,0.056701030927835
20190203,IN,-3.256700854346454,-0.5473988439306358,3560,0.1445086705202312
20190203,US,-2.5879073173455014,0.2772032902467683,17591,0.1069330199764982
20190204,US,-2.5815319967938386,0.4193862275449102,26770,0.0980538922155688
20190204,IN,-2.729263844770444,0.3564202334630353,5062,0.0778210116731517
20190205,IN,-2.6511439282295575,-0.0815217391304348,5034,0.0833333333333333
20190205,US,-2.453383683722427,0.4464195022854237,41584,0.0878618588115794
20190206,US,-2.5755500123844124,0.2171554252199412,45509,0.106060606060606
20190206,IN,-3.029339225192472,0.301526717557252,5185,0.0877862595419847
20190207,IN,-2.4911902949556786,-0.3045643153526971,4913,0.1203319502074688
20190207,US,-2.727842943168433,0.1167976424361494,46946,0.1075638506876227
20190208,US,-3.109631584017192,-0.0073536299765807,47488,0.1002341920374707
20190208,IN,-2.258834406673048,-0.1206642066420664,5131,0.1033210332103321
20190209,IN,-2.0013353179698683,0.6377906976744186,3265,0.0755813953488372
20190209,US,-3.121387250747925,-0.0008882309400444,29166,0.1051073279052553
20190210,IN,-3.3911698932278718,-1.4841176470588238,3037,0.2117647058823529
20190210,US,-2.6138997189583644,-0.0112130479102956,22030,0.1182466870540265
20190211,US,-2.4593254146130654,0.1921385742838108,31533,0.0966022651565623
20190211,IN,-2.039597998983411,0.4416666666666667,4055,0.0964912280701754
20190212,US,-2.583905728010637,0.3223529411764703,53330,0.0878151260504201
20190212,IN,-2.1970182439725168,0.3294915254237287,5474,0.0949152542372881
20190213,US,-2.327534499323012,0.5233772342427088,44638,0.0884289746001881
20190213,IN,-2.4734256103772485,-0.1265372168284789,5723,0.1035598705501618
20190214,IN,-3.0441347303438664,-0.6996575342465756,5525,0.1712328767123287
20190214,US,-2.76939940378111,0.0194727104532839,48785,0.1100832562442183
20190215,IN,-4.246178969659177,-0.2769005847953216,6421,0.1549707602339181
20190215,US,-2.6557000342395933,0.3736156351791533,46356,0.1014425314099581
20190216,IN,-3.9458437310536176,-0.256015037593985,5006,0.1353383458646616
20190216,US,-3.294545882509526,-0.3875329815303431,34405,0.1398416886543535
20190217,IN,-3.670813103989336,-0.1850393700787401,4603,0.1496062992125984
20190217,US,-3.0560735488934845,-0.1984439834024897,19904,0.1379668049792531
20190218,IN,-3.291394827457931,-0.5919191919191917,5658,0.1818181818181818
20190218,US,-2.2976321851976187,0.206957928802589,24123,0.0995145631067961
20190219,IN,-2.0873239397820726,0.1447916666666666,5379,0.1145833333333333
20190219,US,-2.3193556734880976,0.4036201469045119,39432,0.0828961175236096
20190220,US,-2.634110203057211,0.4145922746781115,47390,0.0815450643776824
20190220,IN,-2.401745276230014,-0.2563333333333333,5940,0.1533333333333333
20190221,US,-2.595645687616087,0.4173360447381803,42675,0.0777834265378749
20190221,IN,-2.16010916780043,0.1881249999999998,5772,0.115625
