GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1222255642,20250123,202501,2025,2025.063,THA,BANGKOK,THA,,,,,,,,USA,NEW YORK,USA,,,,,,,,1,193,193,19,4,-10.0,3,1,3,-3.07503075030751,4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,26423,13.75,100.517,-3250083,4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,26423,13.75,100.517,-3250083,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,20250123070000,https://www.theguardian.com/tv-and-radio/2025/jan/23/the-night-agent-season-two-review-this-thrilling-spy-drama-is-like-homeland-all-over-again
1222255799,20250123,202501,2025,2025.063,USA,NEW YORK,USA,,,,,,,,THA,BANGKOK,THA,,,,,,,,1,193,193,19,4,-10.0,4,1,4,-3.07503075030751,4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,26423,13.75,100.517,-3250083,4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,26423,13.75,100.517,-3250083,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,20250123070000,https://www.theguardian.com/tv-and-radio/2025/jan/23/the-night-agent-season-two-review-this-thrilling-spy-drama-is-like-homeland-all-over-again
1222255800,20250123,202501,2025,2025.063,USA,NEW YORK,USA,,,,,,,,THA,BANGKOK,THA,,,,,,,,1,193,193,19,4,-10.0,6,1,6,-3.07503075030751,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,26423,13.75,100.517,-3250083,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,20250123070000,https://www.theguardian.com/tv-and-radio/2025/jan/23/the-night-agent-season-two-review-this-thrilling-spy-drama-is-like-homeland-all-over-again
1222255801,20250123,202501,2025,2025.063,USA,WASHINGTON,USA,,,,,,,,TWNGOV,TAIWAN,TWN,,,,,GOV,,,0,40,40,4,1,1.0,2,1,2,3.61990950226245,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,1,Taiwan,TW,TW,,24.0,121.0,TW,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20250123070000,https://focustaiwan.tw:443/politics/202501230005
1222255796,20250123,202501,2025,2025.063,USA,BOSTON,USA,,,,,,,,REL,PRIEST,,,,,,,,,0,112,112,11,3,-2.0,2,1,2,-0.64655172413793,3,"Boston, Massachusetts, United States",US,USMA,MA025,42.3584,-71.0598,617565,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,3,"Boston, Massachusetts, United States",US,USMA,MA025,42.3584,-71.0598,617565,20250123070000,https://news.northeastern.edu/2025/01/17/pope-francis-memoir/
1222255798,20250123,202501,2025,2025.063,USA,UNITED STATES,USA,,,,,,,,RUS,RUSSIAN,RUS,,,,,,,,0,100,100,10,3,-5.0,1,1,1,-5.72831423895254,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,28554,50.4333,30.5167,-1044367,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20250123070000,https://www.dawn.com/news/1887085/trump-policy-reversals-cause-upheaval-across-america
1222254992,20250123,202501,2025,2025.063,CVL,VOTER,,,,,,CVL,,,EDU,SCHOOL,,,,,,EDU,,,1,14,14,1,1,0.0,10,1,10,-1.31868131868132,1,United States,US,US,,39.828175,-98.5795,US,1,United States,US,US,,39.828175,-98.5795,US,1,United States,US,US,,39.828175,-98.5795,US,20250123070000,https://www.ksdk.com/article/news/education/candidates-for-st-louis-school-board-pitch-plans/63-9937aae7-7e61-43bb-84a5-94ad474519b8
1222255375,20250123,202501,2025,2025.063,KWTGOV,KUWAIT,KWT,,,,,GOV,,,QAT,QATAR,QAT,,,,,,,,1,51,51,5,1,3.4,10,1,10,3.84615384615385,1,United States,US,US,,39.828175,-98.5795,US,1,United States,US,US,,39.828175,-98.5795,US,1,United States,US,US,,39.828175,-98.5795,US,20250123070000,https://thepeninsulaqatar.com/article/23/01/2025/kuwait-cabinet-praises-qatars-efforts-to-reach-gaza-ceasefire-deal
1222255612,20250123,202501,2025,2025.063,REF,REFUGEE,,,,,,REF,,,GOV,PRESIDENT,,,,,,GOV,,,1,160,160,16,4,-4.0,3,1,3,-5.38922155688622,1,United States,US,US,,39.828175,-98.5795,US,1,United States,US,US,,39.828175,-98.5795,US,1,United States,US,US,,39.828175,-98.5795,US,20250123070000,https://pajhwok.com/2025/01/23/flights-of-refugees-to-us-canceled-state-dept/
1222252909,20250123,202501,2025,2025.063,EDU,SCHOOL,,,,,,EDU,,,GOVEDUMED,DEPARTMENT OF EDUCATION,,,,,,GOV,EDU,MED,0,43,43,4,1,2.8,4,1,4,-0.416233090530696,3,"Burlington, Iowa, United States",US,USIA,IA057,40.8075,-91.1129,454995,2,"Iowa, United States",US,USIA,,42.0046,-93.214,IA,2,"Iowa, United States",US,USIA,,42.0046,-93.214,IA,20250123064500,https://www.bleedingheartland.com/2025/01/22/voucher-use-increased-enrollment-for-iowas-private-schools/
1222254711,20250123,202501,2025,2025.063,,,,,,,,,,,EDU,STUDENT,,,,,,EDU,,,1,40,40,4,1,1.0,4,1,4,-4.47247706422018,0,,,,,,,,3,"Bedford, Pennsylvania, United States",US,USPA,PA009,40.0187,-78.5039,1213610,3,"Bedford, Pennsylvania, United States",US,USPA,PA009,40.0187,-78.5039,1213610,20250123070000,https://www.altoonamirror.com/news/local-news/2025/01/it-workers-conviction-upheld/
1222253840,20250123,202501,2025,2025.063,dak,SIOUX,,,dak,,,,,,EDU,STUDENT,,,,,,EDU,,,0,120,120,12,3,-4.0,1,1,1,-0.416233090530696,3,"Muscatine, Iowa, United States",US,USIA,IA139,41.4245,-91.0432,465186,3,"Sioux City, Iowa, United States",US,USIA,,42.5,-96.4003,461653,3,"Sioux City, Iowa, United States",US,USIA,,42.5,-96.4003,461653,20250123064500,https://www.bleedingheartland.com/2025/01/22/voucher-use-increased-enrollment-for-iowas-private-schools/
