Date,USD_to_INR,Goldstein_Mean,Goldstein_Median,Goldstein_Sum,Event_Count,Total_Mentions,Avg_Tone
2025-02-07,87.51,0.4382934712346477,1.0,3390.2,7735,40869,-2.1066108424331595
2025-02-10,87.47,1.0118724305469042,1.9,8122.3,8027,41030,-1.0028874383861008
2025-02-11,86.74,1.0617852522639069,1.9,8207.6,7730,39202,-1.1850965282358852
2025-02-12,86.89,0.9896551724137932,1.9,7749.0,7830,40437,-1.2569845882201416
2025-02-13,86.99,1.074871619308456,1.9,9419.1,8763,43805,-1.1039495244241475
2025-02-14,86.67,0.7835674305628895,1.0,7419.6,9469,46503,-1.5696925362171334
2025-02-17,86.88,0.6866508578602316,1.0,4922.6,7169,38658,-1.7898841612660148
2025-02-18,86.96,0.817890844172405,1.0,6413.9,7842,40560,-1.398616353015419
2025-02-19,86.87,0.8172125,1.9,6537.7,8000,40064,-1.4557095060039362
2025-02-20,86.59,0.8833705357142857,1.9,6332.0,7168,37670,-1.2899124727740046
2025-02-21,86.63,0.9222988822961224,1.9,6683.9,7247,38012,-1.490434123486332
2025-02-24,86.73,0.9401865369018654,1.9,6955.5,7398,39048,-1.082666767863382
2025-02-25,87.19,0.6125270855904659,1.0,4522.9,7384,39108,-1.5089033164287289
2025-02-26,87.11,0.6409728308501316,1.9,4388.1,6846,36378,-0.8529687684376054
2025-02-27,87.15,0.5417784142689753,1.0,4161.4,7681,40926,-1.388057317179746
2025-02-28,87.38,0.5492990024265301,1.0,4074.7,7418,40029,-1.6746700758449966
2025-03-03,87.29,0.4410657355396994,1.0,2905.3,6587,35319,-1.5556886768502511
2025-03-04,87.14,0.2765989465763732,1.0,1838.0,6645,35775,-1.7495453276698325
2025-03-05,87.05,0.2918703808982376,1.0,2053.6,7036,37540,-1.6998990497012731
2025-03-06,87.08,0.4332131891603257,1.0,3245.2,7491,38575,-1.6756339472510262
2025-03-07,86.99,0.7142505806804209,1.0,5227.6,7319,38921,-1.4051434913618546
2025-03-10,87.31,0.3941292356185973,1.0,3000.9,7614,39934,-1.8563231619475984
2025-03-11,87.2,0.3695475409836066,1.0,2817.8,7625,40113,-1.9270076868299757
2025-03-12,87.2,0.6043611629767938,1.0,4531.5,7498,39285,-1.4283866266882452
