Date,USA_Avg_Goldstein,USA_Event_Count,India_Avg_Goldstein,India_Event_Count,Combined_Simple_Avg,Combined_Weighted_Avg,Combined_Product,Combined_Geometric_Mean,USA_India_Sentiment_Diff,USD_to_INR,Exchange_Rate_Change,Exchange_Rate_Change_Abs
2025-05-27,0.4610722667709759,40904.0,0.2427147239263803,5216.0,0.3518934953486781,0.4363768430182133,0.1119090279394278,0.3345280674912462,0.2183575428445955,85.4,0.3643201316253508,0.3100000000000023
2025-05-28,0.4260111122759198,47695.0,0.2427147239263803,5216.0,0.3343629181011501,0.4079416378446824,0.1033991695056201,0.3215574124563451,0.1832963883495394,85.39,-0.011709601873544,-0.0100000000000051
2025-05-29,0.4904037390612569,50280.0,0.2339907192575405,1724.0,0.3621972291593987,0.4819033151296054,0.1147499236295307,0.3387475809943603,0.2564130198037163,85.47,0.0936877854549766,0.0799999999999983
2025-05-30,0.5637506001210679,47907.0,0.2339907192575405,1724.0,0.3988706596893042,0.5522959440672162,0.1319124084041988,0.3631974785212568,0.3297598808635273,85.56,0.105300105300099,0.0900000000000034
2025-06-02,0.213234899328859,40975.0,0.2339907192575405,1724.0,0.2236128092931998,0.2140729291084099,0.0498949874647689,0.2233718591603897,-0.0207558199286815,85.38,-0.2103786816269326,-0.1800000000000068
2025-06-03,0.3310908247596559,47432.0,0.2339907192575405,1724.0,0.2825407720085982,0.32768532834242,0.0774721802250842,0.2783382478659449,0.0971001055021153,85.62,0.2810962754743684,0.2400000000000091
2025-06-04,0.4506576460053725,50255.0,0.2339907192575405,1724.0,0.3423241826314565,0.4434714019123106,0.1054497067277072,0.3247302060599032,0.2166669267478319,85.89,0.3153468815697113,0.269999999999996
2025-06-05,0.4143976099737633,52217.0,0.2339907192575405,1724.0,0.3241941646156519,0.4086316531024638,0.0969651948163666,0.3113923486798715,0.1804068907162227,85.83,-0.0698567935731753,-0.0600000000000022
2025-06-06,0.3830149343490027,49885.0,0.2339907192575405,1724.0,0.3085028268032716,0.3780367765312252,0.0896219399747028,0.2993692368542613,0.1490242150914621,85.74,-0.1048584411045161,-0.0900000000000034
2025-06-09,-0.1065092576108242,44936.0,0.2339907192575405,1724.0,0.0637407308233581,-0.0939284183454778,-0.0249221777959434,-0.1578675957755214,-0.3404999768683648,85.66,-0.0933053417308094,-0.0799999999999983
2025-06-10,-0.0021841045722795,54393.0,0.2339907192575405,1724.0,0.1159033073426305,0.0050715469465581,-0.0005110601998013,-0.022606640612912,-0.23617482382982,85.58,-0.0933924819052078,-0.0799999999999983
2025-06-11,-0.0304833025675448,59590.0,0.2339907192575405,1724.0,0.1017537083449978,-0.0230469387089407,-0.007132809893125,-0.0844559642247073,-0.2644740218250854,85.54,-0.0467398924982376,-0.039999999999992
2025-06-12,0.0541013950588418,51324.0,0.2339907192575405,1724.0,0.1440460571581912,0.0599475946312772,0.0126592243426547,0.1125132185241127,-0.1798893241986988,85.54,0.0,0.0
2025-06-13,0.0402794471153846,53248.0,0.2339907192575405,1724.0,0.1371350831864626,0.0463545077493996,0.0094250168018249,0.0970825257285002,-0.193711272142156,86.09,0.6429740472293721,0.5499999999999972
2025-06-16,-0.7685800604229608,331.0,0.2339907192575405,1724.0,-0.2672946705827101,0.0725060827250608,-0.1798406011453726,-0.4240761737534574,-1.0025707796805017,86.04,-0.0580787547914907,-0.0499999999999971
2025-06-17,-0.0142857142857142,420.0,0.2339907192575405,1724.0,0.1098525024859131,0.1853544776119403,-0.0033427245608219,-0.0578163001308626,-0.2482764335432548,86.26,0.2556950255695023,0.2199999999999988
2025-06-18,-0.1991202346041055,341.0,0.2339907192575405,1724.0,0.0174352423267175,0.1624697336561743,-0.0465922869137448,-0.2158524656188686,-0.4331109538616461,86.43,0.1970785995826673,0.1700000000000017
2025-06-19,1.1426666666666667,150.0,0.2339907192575405,1724.0,0.6883286929621036,0.3067235859124866,0.2673733952049497,0.5170816136790688,0.9086759474091262,86.74,0.3586717574916021,0.309999999999988
2025-06-20,0.5769230769230769,117.0,0.2339907192575405,1724.0,0.4054568980903087,0.2557848995111352,0.1349946457255041,0.3674161751005311,0.3429323576655363,86.62,-0.1383444777495857,-0.1199999999999903
2025-06-23,-0.0867507886435331,317.0,0.2339907192575405,1724.0,0.0736199653070037,0.1841744243018128,-0.0202988794308591,-0.1424741360067124,-0.3207415079010737,86.77,0.1731701685522946,0.1499999999999914
2025-06-24,-0.107719298245614,285.0,0.2339907192575405,1724.0,0.0631357105059632,0.185515181682429,-0.0252053160744087,-0.1587618218414262,-0.3417100175031546,86.03,-0.8528293188890146,-0.7399999999999949
2025-06-25,1.5927760577915375,969.0,0.2339907192575405,1724.0,0.913383388524539,0.722911251392499,0.3726948153788319,0.6104873589017482,1.358785338533997,86.1,0.0813669650121973,0.0699999999999931
2025-06-26,1.585273492286115,713.0,0.2339907192575405,1724.0,0.9096321057718276,0.6293393516618793,0.3709392846799412,0.609047850895101,1.3512827730285744,85.75,-0.406504065040647,-0.3499999999999943
2025-06-27,1.7723684210526314,456.0,0.2339907192575405,1724.0,1.003179570155086,0.5557798165137614,0.4147177616314567,0.6439858396202953,1.5383777017950908,85.51,-0.2798833819241952,-0.2399999999999948
2025-06-30,0.4591803278688524,610.0,0.2339907192575405,1724.0,0.3465855235631965,0.2928449014567266,0.107443935186946,0.3277864170263101,0.2251896086113118,85.8,0.3391416208630371,0.289999999999992
2025-07-01,0.4585912486659552,937.0,0.2339907192575405,1724.0,0.3462909839617479,0.3130777903043968,0.1073060961205605,0.3275760921077124,0.2246005294084146,85.56,-0.2797202797202747,-0.2399999999999948
2025-07-02,0.5991624933404369,46925.0,0.2339907192575405,1724.0,0.4165766062989887,0.5862217106209789,0.1401984627688702,0.3744308517855736,0.3651717740828963,85.67,0.1285647498831199,0.1099999999999994
2025-07-03,0.6092189749776239,51394.0,0.2339907192575405,1724.0,0.4216048471175822,0.5970405512255733,0.1425515861403558,0.3775600430929574,0.3752282557200833,85.38,-0.3385082292517882,-0.2900000000000062
2025-07-04,0.6059962370136067,36673.0,0.2339907192575405,1724.0,0.4199934781355736,0.5892934343828945,0.1417974953661768,0.3765600820137164,0.3720055177560661,85.41,0.035137034434296,0.0300000000000011
2025-07-07,0.6626905516329433,40081.0,0.2339907192575405,1724.0,0.4483406354452419,0.6450113622772397,0.1550634388217687,0.3937809528427813,0.4286998323754027,85.93,0.6088280060883022,0.5200000000000102
2025-07-08,0.6570493827160494,48600.0,0.2339907192575405,1724.0,0.445520050986795,0.6425562355933552,0.1537434576494514,0.392101335944487,0.4230586634585088,85.67,-0.302571860816947,-0.2600000000000051
2025-07-09,0.7128252563844762,49730.0,0.2339907192575405,1724.0,0.4734079878210084,0.6967815913242897,0.1667944944463443,0.4084048168745618,0.4788345371269357,85.72,0.0583634878020378,0.0499999999999971
2025-07-10,0.6692983688128248,49841.0,0.2339907192575405,1724.0,0.4516445440351826,0.6547444972364976,0.1566096067164115,0.3957393166169006,0.4353076495552842,85.76,0.0466635557629491,0.0400000000000062
2025-07-11,0.5916228844356765,48155.0,0.2339907192575405,1724.0,0.4128068018466085,0.5792618135888851,0.1384342642583247,0.3720675533533188,0.3576321651781359,85.83,0.0816231343283568,0.0699999999999931
2025-07-14,0.7414084716006033,40441.0,0.2339907192575405,1724.0,0.4876995954290719,0.7206616862326575,0.173482701533459,0.416512546669916,0.5074177523430627,86.01,0.2097168822090322,0.1800000000000068
2025-07-15,0.6776127733370543,50167.0,0.2339907192575405,1724.0,0.4558017462972974,0.6628741014819527,0.1585551002112341,0.3981897791395883,0.4436220540795137,85.86,-0.1743983257760817,-0.1500000000000056
2025-07-16,0.6657872623165465,51171.0,0.2339907192575405,1724.0,0.4498889907870435,0.6517137725682957,0.1557880403819575,0.394699937144608,0.4317965430590059,85.99,0.151409270906111,0.1299999999999954
2025-07-17,0.5807350525461634,50527.0,0.2339907192575405,1724.0,0.407362885901852,0.5692943675719125,0.1358866126433424,0.3686280139155764,0.3467443332886228,86.08,0.104663332945698,0.0900000000000034
2025-07-18,0.5284209012857906,48686.0,0.2339907192575405,1724.0,0.3812058102716655,0.5183515175560405,0.1236455867625799,0.3516327441558592,0.29443018202825,86.14,0.0697026022304925,0.0600000000000022
2025-07-21,0.3813794661912772,39827.0,0.2339907192575405,1724.0,0.3076850927244089,0.3752641332338571,0.0892392556041538,0.2987294019746865,0.1473887469337366,86.29,0.1741351288599979,0.1500000000000056
2025-07-22,0.5089884696016772,49608.0,0.2339907192575405,1724.0,0.3714895944296089,0.4997525909763891,0.1190985780958912,0.3451066184469537,0.2749977503441366,86.43,0.1622435971723179,0.1400000000000005
2025-07-23,0.5474445627965527,51635.0,0.2339907192575405,1724.0,0.3907176410270466,0.5373170411739351,0.1280969470023952,0.3579063383098925,0.3134538435390122,86.42,-0.0115700566932885,-0.0100000000000051
2025-07-24,0.5624937883054497,48296.0,0.2339907192575405,1724.0,0.3982422537814951,0.551171531387445,0.1316183261034909,0.3627924008348175,0.3285030690479091,86.39,-0.034714186530893,-0.0300000000000011
2025-07-25,0.6699581571721223,45886.0,0.2339907192575405,1724.0,0.4519744382148314,0.6541713925645873,0.1567639910691613,0.3959343267123492,0.4359674379145817,86.51,0.1389049658525376,0.1200000000000045
