Date,GoldsteinScale_mean,GoldsteinScale_std,Event_count,AvgTone_mean,AvgTone_std,Total_mentions,Total_articles,USD_to_INR
2025-02-18,1.092783936414976,4.164359164154385,4781,-0.9535199191064156,4.006593414759616,25045,24578,86.96
2025-02-19,1.160480303349484,4.074511082511151,4747,-0.979179988288742,4.205367198086982,24010,23495,86.87
2025-02-20,1.2703712138465042,4.057465216754885,4391,-0.916470058979441,4.042900775806955,22973,22529,86.59
2025-02-21,1.2438232642019835,4.135341691274608,4436,-1.21429278028481,4.136084367580843,23567,23051,86.63
2025-02-24,1.2782838739360478,4.218331840354351,4347,-0.6344092593527593,4.050415968322805,23193,22854,86.73
2025-02-25,0.813820272572402,4.362761703732975,4696,-1.279134139489611,4.371011376893127,24858,24536,87.19
2025-02-26,0.9016098484848484,4.449724654789411,4224,-0.433285382887231,4.348262593467925,22604,22241,87.11
2025-02-27,0.9243029637760702,4.091819974424388,4555,-0.8264491004967875,4.128779767009299,24486,24145,87.15
2025-02-28,0.8330945227640398,4.354792898539248,4327,-1.2856583244444026,4.235733765142261,23354,22907,87.38
2025-03-03,0.6019848076451849,4.396668021015921,4081,-1.3791050517603622,4.115238628932235,22458,22045,87.29
2025-03-04,0.4910606762389995,4.461935241272966,4318,-1.5551558710348616,4.244738912357681,23358,22890,87.14
2025-03-05,0.4868952461085401,4.24593352748803,4754,-1.378523119653468,3.8736524842987863,25380,24914,87.05
2025-03-06,0.9672518568534774,4.338181249875339,4443,-1.0800257721941426,4.009363191141775,23032,22573,87.08
2025-03-07,1.0718214607754737,4.13084358207508,4436,-0.8442046101849987,4.052891563112581,24095,23706,86.99
2025-03-10,0.7282960836579865,4.45178009442483,4877,-1.5422014441295584,4.153361435925441,25302,24807,87.31
2025-03-11,0.6034497354497355,4.331407993877119,4725,-1.7474801694616011,3.961622383290054,25430,24968,87.2
2025-03-12,0.8029653679653679,4.187891425371888,4620,-1.2963032269320038,4.059574296695259,24438,24043,87.2
2025-03-13,0.7452034153691612,4.310577218552598,3982,-1.2888628503399884,4.173160175447133,20329,20021,87.05
2025-03-14,0.7328101071975497,4.337992190435484,2612,-1.1224979384763627,4.415855301324764,13585,13351,86.94
2025-03-17,0.3432579016270806,4.55469287321896,5347,-1.8152065992673576,4.629567433730505,27658,27142,86.79
2025-03-18,0.718720330237358,4.334247845957038,4845,-1.526265988766185,4.486216685023993,25485,24960,86.55
2025-03-19,0.7751740139211136,4.424054119063734,4741,-1.4844728175754196,4.824628385086143,24712,24360,86.32
2025-03-20,0.3563829787234042,4.449784961664966,4794,-1.9339516919446065,4.247395654786588,25964,25449,86.36
2025-03-21,0.483625083093286,4.331721089883435,4513,-1.7679057234262257,4.259833802657273,24093,23666,86.03
2025-03-24,0.296892177589852,4.438672690064724,4730,-1.4240460234128325,4.138663427430905,24826,24265,85.57
2025-03-25,0.8776774969915765,4.407348780264136,4986,-1.6263025878106097,3.839159338927375,26674,26145,85.7
2025-03-26,0.6411512667660209,4.489509119533164,5368,-1.4762852088102123,3.857539889781604,27569,26956,85.65
2025-03-27,0.6532467532467533,4.37991517979437,4851,-1.6520092334235872,3.866470587416584,25392,24841,85.73
2025-03-28,0.6909031413612565,4.41038166519462,4584,-1.5674035498324803,4.074922829269388,24421,23814,85.53
2025-03-31,0.6384762948753083,4.252764127193744,3649,-1.255370302044592,4.212995043165909,19946,19535,85.44
2025-04-01,0.970381710553174,4.147785261778624,4899,-1.0079911119323954,3.990422035151679,26134,25646,85.63
2025-04-02,0.8239603204883632,4.1980263255831805,5242,-1.3940079046640854,3.56646035310489,28438,27984,85.49
2025-04-03,0.6685897435897435,4.393030734770283,5304,-1.5283404588128664,3.754112161245406,28836,28291,85.28
