Date,US_Avg_Tone,US_Avg_Stability,US_Total_Mentions,US_Event_Count,US_Crisis_Events
20200306,-2.476754957867687,0.5196326061997703,34727,1742,140
20200307,-2.319814999618373,0.6653007846556235,23317,1147,84
20200308,-2.029092032967051,0.5744162436548222,19906,985,78
20200309,-2.2740581220816343,0.6682875264270615,28657,1419,120
20200310,-1.946166720486254,0.7936772046589015,37167,1803,104
20200311,-2.489452219990677,0.3866861030126336,41212,2058,152
20200312,-2.576366978906436,0.549132035770647,37884,1901,127
20200313,-2.432056953620686,0.543801652892562,34319,1694,108
20200314,-2.262395084681596,0.6697207678883071,22868,1146,72
20200315,-2.0479523114249845,1.037653736991485,22436,1057,53
20200316,-2.1210459162431445,0.575810276679842,26393,1265,79
20200317,-2.295951778154246,0.8041423570595098,35502,1714,79
20200318,-2.31945186449136,0.893574706782254,40409,1961,90
20200319,-2.3643825902592885,0.9437032777458306,34956,1739,101
20200320,-2.184941724284343,1.1377049180327876,36598,1708,72
20200321,-1.9943250507467516,1.1741704035874438,22216,1115,52
20200322,-2.2904496835676293,1.0651620370370372,17008,864,39
20200323,-2.6164355015094727,1.1434229137199434,29196,1414,52
20200324,-2.22151022540075,0.9994260204081628,33052,1568,83
20200325,-2.3522330498797555,1.0973252279635262,33770,1645,70
20200326,-2.29007996379077,0.9728823887873244,33509,1641,99
20200327,-2.30634596133727,1.2082949308755762,30255,1519,80
20200328,-2.466019242779289,1.540190476190476,22156,1050,40
20200329,-2.535614008663462,0.9234234234234238,16833,888,48
20200330,-2.139511864126937,0.8185624563852058,30519,1433,86
20200331,-2.11625088567106,0.9132775119617224,35487,1672,100
20200401,-2.1052412397988287,1.004879635653871,31246,1537,85
20200402,-2.2219735833026046,1.0107121119902618,33177,1643,98
20200403,-2.213016765070705,1.2840000000000005,36874,1700,90
20200404,-2.2039470858668464,1.062374429223744,22138,1095,56
20200405,-2.271172774180395,0.5441919191919194,15855,792,65
20200406,-2.498777760688528,0.7470820189274446,25844,1268,100
20200407,-2.451971796790074,0.7336122733612273,28973,1434,107
20200408,-2.2548972170465915,1.1723214285714292,34831,1680,93
20200409,-2.017098336477217,1.0379134860050891,32624,1572,107
20200410,-2.1735173817058446,1.0637713437268002,26255,1347,82
20200411,-2.495485354803828,0.9288669950738914,20566,1015,59
20200412,-2.679817501079039,0.7641726618705037,13806,695,45
20200413,-2.5843651011958757,0.9130358705161852,23464,1143,88
20200414,-1.991915533469324,1.4408026755852847,30211,1495,75
20200415,-2.053180538624833,1.198645465253239,37273,1698,96
20200416,-2.029515730758498,1.329627367135003,32200,1637,83
20200417,-2.256855716925576,1.157660521296885,32256,1573,100
20200418,-2.0731713530834455,1.1642857142857146,19899,1008,44
20200419,-2.1501241165721634,0.6564814814814816,15282,756,62
20200420,-2.325368350239589,0.7612009237875289,25357,1299,82
20200421,-2.2491485240389166,1.0983943481053309,31764,1557,84
20200422,-2.002240480239243,1.1004962779156326,32341,1612,102
20200423,-1.9312208787238527,1.0744081893793986,32267,1563,111
20200424,-2.102088977583336,0.8164304123711341,35134,1552,113
20200425,-2.2654869017648926,1.099686847599165,18679,958,58
20200426,-2.157013403989139,0.7481049562682216,13243,686,65
20200427,-1.924751953181636,0.8886185925282366,23334,1151,81
20200428,-1.7973932523237293,1.1350705088902513,32834,1631,85
20200429,-1.7211240190982129,1.2140283140283137,31652,1554,83
20200430,-2.127241491540645,0.9276243093922651,34070,1629,105
20200501,-2.068627793188055,1.042367399741268,31467,1546,107
20200502,-2.0295882825814537,0.8689289501590665,19035,943,62
20200503,-2.280128247753811,0.5939666238767651,15295,779,64
20200504,-2.0392261470033266,0.6752854812398041,26566,1226,92
20200505,-1.947204081198021,0.9923864363403712,31035,1563,98
20200506,-1.9480859406022597,1.1474815724815723,33481,1628,110
20200507,-2.1735039145904778,0.7385697538100819,33976,1706,133
20200508,-2.176779264308276,0.8984510532837671,34206,1614,138
20200509,-1.9934130351010604,0.7046070460704607,22770,1107,91
20200510,-2.440533599806039,0.764163372859025,13754,759,66
20200511,-2.119786406763351,0.78125,23052,1200,103
20200512,-2.097726520449684,0.8522478736330495,34027,1646,128
20200513,-2.3551285289268984,0.8609671848013816,36864,1737,130
20200514,-1.941152791611915,0.9986461538461534,32235,1625,103
20200515,-2.105211528517786,0.8317854807063441,30422,1529,110
20200516,-2.1370111290862828,1.0631782945736434,20378,1032,62
20200517,-2.484768145555321,0.6842917251051894,13838,713,62
20200518,-2.388968601273584,0.7200626959247649,26382,1276,109
20200519,-2.034669585479344,0.8702254641909811,31458,1508,103
20200520,-1.9839677499384931,0.9728091236494596,34843,1666,116
20200521,-2.327477918773043,0.6370078740157483,33518,1651,124
20200522,-2.1387214450938754,0.4647021943573669,33288,1595,147
20200523,-1.9588177464857488,0.7734581497797357,17782,908,72
20200524,-2.173988336021811,0.3348000000000002,15008,750,73
20200525,-2.3471759512832606,0.1769322235434007,16566,841,92
20200526,-2.2843760559281443,0.4290820471161656,24563,1231,106
20200527,-2.496326287729868,0.6199608610567517,30367,1533,112
20200528,-2.9185812340742725,0.0132549438802777,38423,1871,209
20200529,-3.965028585974672,-0.5438863521055302,38797,1971,268
20200530,-5.0521424159033455,-1.6066066066066065,33180,1665,351
20200531,-5.6386223502781005,-1.6213721918639952,34338,1647,318
20200601,-5.108909247056147,-1.2425800193986427,42065,2062,339
20200602,-4.538310183027055,-1.1731868131868128,45811,2275,331
20200603,-4.223166141240184,-0.840535143769968,51972,2504,319
20200604,-4.089265784766582,-0.5259351620947631,48045,2406,276
20200605,-3.451955611181188,-0.2870673076923076,43035,2080,223
20200606,-3.4347806682742026,-0.3634262406526174,30356,1471,152
20200607,-3.845573522952225,-0.6003451251078517,23068,1159,140
20200608,-3.412888866343005,-0.229316338354577,35648,1726,189
20200609,-3.298347884410381,-0.0236354001059883,39494,1887,170
20200610,-3.0489390312251685,-0.2127245508982036,41864,2004,194
20200611,-3.038455529358252,0.2538461538461537,42473,2067,187
20200612,-3.09821864767674,-0.068474923234391,40004,1954,210
20200613,-3.1527353691177544,-0.3399848254931714,26642,1318,150
20200614,-3.630773612390085,-0.7652802893309225,22125,1106,201
20200615,-2.7553336037761538,0.0788597053171043,30650,1561,161
20200616,-3.0467551014191487,0.0512572533849129,43427,2068,195
20200617,-2.7195350671631324,0.2498974358974358,39352,1950,160
20200618,-3.1630058069417046,-0.2743302484169507,42561,2053,223
20200619,-2.543800077492836,0.1997155858930601,34691,1758,157
20200620,-2.56535095486302,0.2386042402826855,23760,1132,84
